Source,Target,Type,Pokemon Type
Bulbasaur,Ivysaur,Undirected,Grass
Bulbasaur,Venusaur,Undirected,Grass
Bulbasaur,VenusaurMega Venusaur,Undirected,Grass
Bulbasaur,Oddish,Undirected,Grass
Bulbasaur,Gloom,Undirected,Grass
Bulbasaur,Vileplume,Undirected,Grass
Bulbasaur,Paras,Undirected,Grass
Bulbasaur,Parasect,Undirected,Grass
Bulbasaur,Bellsprout,Undirected,Grass
Bulbasaur,Weepinbell,Undirected,Grass
Bulbasaur,Victreebel,Undirected,Grass
Bulbasaur,Exeggcute,Undirected,Grass
Bulbasaur,Exeggutor,Undirected,Grass
Bulbasaur,Tangela,Undirected,Grass
Bulbasaur,Chikorita,Undirected,Grass
Bulbasaur,Bayleef,Undirected,Grass
Bulbasaur,Meganium,Undirected,Grass
Bulbasaur,Bellossom,Undirected,Grass
Bulbasaur,Hoppip,Undirected,Grass
Bulbasaur,Skiploom,Undirected,Grass
Bulbasaur,Jumpluff,Undirected,Grass
Bulbasaur,Sunkern,Undirected,Grass
Bulbasaur,Sunflora,Undirected,Grass
Bulbasaur,Celebi,Undirected,Grass
Bulbasaur,Treecko,Undirected,Grass
Bulbasaur,Grovyle,Undirected,Grass
Bulbasaur,Sceptile,Undirected,Grass
Bulbasaur,SceptileMega Sceptile,Undirected,Grass
Bulbasaur,Lotad,Undirected,Grass
Bulbasaur,Lombre,Undirected,Grass
Bulbasaur,Ludicolo,Undirected,Grass
Bulbasaur,Seedot,Undirected,Grass
Bulbasaur,Nuzleaf,Undirected,Grass
Bulbasaur,Shiftry,Undirected,Grass
Bulbasaur,Shroomish,Undirected,Grass
Bulbasaur,Breloom,Undirected,Grass
Bulbasaur,Roselia,Undirected,Grass
Bulbasaur,Cacnea,Undirected,Grass
Bulbasaur,Cacturne,Undirected,Grass
Bulbasaur,Lileep,Undirected,Grass
Bulbasaur,Cradily,Undirected,Grass
Bulbasaur,Tropius,Undirected,Grass
Bulbasaur,Turtwig,Undirected,Grass
Bulbasaur,Grotle,Undirected,Grass
Bulbasaur,Torterra,Undirected,Grass
Bulbasaur,Budew,Undirected,Grass
Bulbasaur,Roserade,Undirected,Grass
Bulbasaur,WormadamPlant Cloak,Undirected,Grass
Bulbasaur,Cherubi,Undirected,Grass
Bulbasaur,Cherrim,Undirected,Grass
Bulbasaur,Carnivine,Undirected,Grass
Bulbasaur,Snover,Undirected,Grass
Bulbasaur,Abomasnow,Undirected,Grass
Bulbasaur,AbomasnowMega Abomasnow,Undirected,Grass
Bulbasaur,Tangrowth,Undirected,Grass
Bulbasaur,Leafeon,Undirected,Grass
Bulbasaur,RotomMow Rotom,Undirected,Grass
Bulbasaur,ShayminLand Forme,Undirected,Grass
Bulbasaur,ShayminSky Forme,Undirected,Grass
Bulbasaur,Snivy,Undirected,Grass
Bulbasaur,Servine,Undirected,Grass
Bulbasaur,Serperior,Undirected,Grass
Bulbasaur,Pansage,Undirected,Grass
Bulbasaur,Simisage,Undirected,Grass
Bulbasaur,Sewaddle,Undirected,Grass
Bulbasaur,Swadloon,Undirected,Grass
Bulbasaur,Leavanny,Undirected,Grass
Bulbasaur,Cottonee,Undirected,Grass
Bulbasaur,Whimsicott,Undirected,Grass
Bulbasaur,Petilil,Undirected,Grass
Bulbasaur,Lilligant,Undirected,Grass
Bulbasaur,Maractus,Undirected,Grass
Bulbasaur,Deerling,Undirected,Grass
Bulbasaur,Sawsbuck,Undirected,Grass
Bulbasaur,Foongus,Undirected,Grass
Bulbasaur,Amoonguss,Undirected,Grass
Bulbasaur,Ferroseed,Undirected,Grass
Bulbasaur,Ferrothorn,Undirected,Grass
Bulbasaur,Virizion,Undirected,Grass
Bulbasaur,Chespin,Undirected,Grass
Bulbasaur,Quilladin,Undirected,Grass
Bulbasaur,Chesnaught,Undirected,Grass
Bulbasaur,Skiddo,Undirected,Grass
Bulbasaur,Gogoat,Undirected,Grass
Bulbasaur,Phantump,Undirected,Grass
Bulbasaur,Trevenant,Undirected,Grass
Bulbasaur,PumpkabooAverage Size,Undirected,Grass
Bulbasaur,PumpkabooSmall Size,Undirected,Grass
Bulbasaur,PumpkabooLarge Size,Undirected,Grass
Bulbasaur,PumpkabooSuper Size,Undirected,Grass
Bulbasaur,GourgeistAverage Size,Undirected,Grass
Bulbasaur,GourgeistSmall Size,Undirected,Grass
Bulbasaur,GourgeistLarge Size,Undirected,Grass
Bulbasaur,GourgeistSuper Size,Undirected,Grass
Ivysaur,Venusaur,Undirected,Grass
Ivysaur,VenusaurMega Venusaur,Undirected,Grass
Ivysaur,Oddish,Undirected,Grass
Ivysaur,Gloom,Undirected,Grass
Ivysaur,Vileplume,Undirected,Grass
Ivysaur,Paras,Undirected,Grass
Ivysaur,Parasect,Undirected,Grass
Ivysaur,Bellsprout,Undirected,Grass
Ivysaur,Weepinbell,Undirected,Grass
Ivysaur,Victreebel,Undirected,Grass
Ivysaur,Exeggcute,Undirected,Grass
Ivysaur,Exeggutor,Undirected,Grass
Ivysaur,Tangela,Undirected,Grass
Ivysaur,Chikorita,Undirected,Grass
Ivysaur,Bayleef,Undirected,Grass
Ivysaur,Meganium,Undirected,Grass
Ivysaur,Bellossom,Undirected,Grass
Ivysaur,Hoppip,Undirected,Grass
Ivysaur,Skiploom,Undirected,Grass
Ivysaur,Jumpluff,Undirected,Grass
Ivysaur,Sunkern,Undirected,Grass
Ivysaur,Sunflora,Undirected,Grass
Ivysaur,Celebi,Undirected,Grass
Ivysaur,Treecko,Undirected,Grass
Ivysaur,Grovyle,Undirected,Grass
Ivysaur,Sceptile,Undirected,Grass
Ivysaur,SceptileMega Sceptile,Undirected,Grass
Ivysaur,Lotad,Undirected,Grass
Ivysaur,Lombre,Undirected,Grass
Ivysaur,Ludicolo,Undirected,Grass
Ivysaur,Seedot,Undirected,Grass
Ivysaur,Nuzleaf,Undirected,Grass
Ivysaur,Shiftry,Undirected,Grass
Ivysaur,Shroomish,Undirected,Grass
Ivysaur,Breloom,Undirected,Grass
Ivysaur,Roselia,Undirected,Grass
Ivysaur,Cacnea,Undirected,Grass
Ivysaur,Cacturne,Undirected,Grass
Ivysaur,Lileep,Undirected,Grass
Ivysaur,Cradily,Undirected,Grass
Ivysaur,Tropius,Undirected,Grass
Ivysaur,Turtwig,Undirected,Grass
Ivysaur,Grotle,Undirected,Grass
Ivysaur,Torterra,Undirected,Grass
Ivysaur,Budew,Undirected,Grass
Ivysaur,Roserade,Undirected,Grass
Ivysaur,WormadamPlant Cloak,Undirected,Grass
Ivysaur,Cherubi,Undirected,Grass
Ivysaur,Cherrim,Undirected,Grass
Ivysaur,Carnivine,Undirected,Grass
Ivysaur,Snover,Undirected,Grass
Ivysaur,Abomasnow,Undirected,Grass
Ivysaur,AbomasnowMega Abomasnow,Undirected,Grass
Ivysaur,Tangrowth,Undirected,Grass
Ivysaur,Leafeon,Undirected,Grass
Ivysaur,RotomMow Rotom,Undirected,Grass
Ivysaur,ShayminLand Forme,Undirected,Grass
Ivysaur,ShayminSky Forme,Undirected,Grass
Ivysaur,Snivy,Undirected,Grass
Ivysaur,Servine,Undirected,Grass
Ivysaur,Serperior,Undirected,Grass
Ivysaur,Pansage,Undirected,Grass
Ivysaur,Simisage,Undirected,Grass
Ivysaur,Sewaddle,Undirected,Grass
Ivysaur,Swadloon,Undirected,Grass
Ivysaur,Leavanny,Undirected,Grass
Ivysaur,Cottonee,Undirected,Grass
Ivysaur,Whimsicott,Undirected,Grass
Ivysaur,Petilil,Undirected,Grass
Ivysaur,Lilligant,Undirected,Grass
Ivysaur,Maractus,Undirected,Grass
Ivysaur,Deerling,Undirected,Grass
Ivysaur,Sawsbuck,Undirected,Grass
Ivysaur,Foongus,Undirected,Grass
Ivysaur,Amoonguss,Undirected,Grass
Ivysaur,Ferroseed,Undirected,Grass
Ivysaur,Ferrothorn,Undirected,Grass
Ivysaur,Virizion,Undirected,Grass
Ivysaur,Chespin,Undirected,Grass
Ivysaur,Quilladin,Undirected,Grass
Ivysaur,Chesnaught,Undirected,Grass
Ivysaur,Skiddo,Undirected,Grass
Ivysaur,Gogoat,Undirected,Grass
Ivysaur,Phantump,Undirected,Grass
Ivysaur,Trevenant,Undirected,Grass
Ivysaur,PumpkabooAverage Size,Undirected,Grass
Ivysaur,PumpkabooSmall Size,Undirected,Grass
Ivysaur,PumpkabooLarge Size,Undirected,Grass
Ivysaur,PumpkabooSuper Size,Undirected,Grass
Ivysaur,GourgeistAverage Size,Undirected,Grass
Ivysaur,GourgeistSmall Size,Undirected,Grass
Ivysaur,GourgeistLarge Size,Undirected,Grass
Ivysaur,GourgeistSuper Size,Undirected,Grass
Venusaur,VenusaurMega Venusaur,Undirected,Grass
Venusaur,Oddish,Undirected,Grass
Venusaur,Gloom,Undirected,Grass
Venusaur,Vileplume,Undirected,Grass
Venusaur,Paras,Undirected,Grass
Venusaur,Parasect,Undirected,Grass
Venusaur,Bellsprout,Undirected,Grass
Venusaur,Weepinbell,Undirected,Grass
Venusaur,Victreebel,Undirected,Grass
Venusaur,Exeggcute,Undirected,Grass
Venusaur,Exeggutor,Undirected,Grass
Venusaur,Tangela,Undirected,Grass
Venusaur,Chikorita,Undirected,Grass
Venusaur,Bayleef,Undirected,Grass
Venusaur,Meganium,Undirected,Grass
Venusaur,Bellossom,Undirected,Grass
Venusaur,Hoppip,Undirected,Grass
Venusaur,Skiploom,Undirected,Grass
Venusaur,Jumpluff,Undirected,Grass
Venusaur,Sunkern,Undirected,Grass
Venusaur,Sunflora,Undirected,Grass
Venusaur,Celebi,Undirected,Grass
Venusaur,Treecko,Undirected,Grass
Venusaur,Grovyle,Undirected,Grass
Venusaur,Sceptile,Undirected,Grass
Venusaur,SceptileMega Sceptile,Undirected,Grass
Venusaur,Lotad,Undirected,Grass
Venusaur,Lombre,Undirected,Grass
Venusaur,Ludicolo,Undirected,Grass
Venusaur,Seedot,Undirected,Grass
Venusaur,Nuzleaf,Undirected,Grass
Venusaur,Shiftry,Undirected,Grass
Venusaur,Shroomish,Undirected,Grass
Venusaur,Breloom,Undirected,Grass
Venusaur,Roselia,Undirected,Grass
Venusaur,Cacnea,Undirected,Grass
Venusaur,Cacturne,Undirected,Grass
Venusaur,Lileep,Undirected,Grass
Venusaur,Cradily,Undirected,Grass
Venusaur,Tropius,Undirected,Grass
Venusaur,Turtwig,Undirected,Grass
Venusaur,Grotle,Undirected,Grass
Venusaur,Torterra,Undirected,Grass
Venusaur,Budew,Undirected,Grass
Venusaur,Roserade,Undirected,Grass
Venusaur,WormadamPlant Cloak,Undirected,Grass
Venusaur,Cherubi,Undirected,Grass
Venusaur,Cherrim,Undirected,Grass
Venusaur,Carnivine,Undirected,Grass
Venusaur,Snover,Undirected,Grass
Venusaur,Abomasnow,Undirected,Grass
